order_id,order_date,customer_id,city,product_name,product_category,quantity,payment_type,amount,cost_price,shipping_cost,customer_type,phone_verified,email_verified,address_complete,distance_km,previous_orders,previous_returns,order_hour,coupon_used,account_age_days,current_stock,avg_daily_sales,status,is_risky
ORD-100019,2026-01-08,CUST-2889,Khulna,Shoes,Fashion,2,Prepaid,8437,5839,190,Returning,Yes,Yes,No,41,8,0,8,Yes,1043,68,6,Returned,1
ORD-100020,2026-06-25,CUST-4228,Barishal,Headphone,Electronics,1,Prepaid,7572,5261,168,New,Yes,Yes,Yes,46,0,0,18,Yes,2,66,9,Success,0
ORD-100021,2026-02-14,CUST-5930,Rangpur,Sunglasses,Accessories,3,Prepaid,4579,2580,281,Returning,Yes,Yes,Yes,86,10,1,17,Yes,861,86,12,Success,0
ORD-100022,2026-03-27,CUST-2530,Cox's Bazar,T-Shirt,Clothing,1,COD,1173,760,278,Returning,Yes,Yes,Yes,102,15,0,23,Yes,173,81,10,Success,0
ORD-100023,2026-04-13,CUST-4997,Sylhet,Shoes,Fashion,2,COD,8377,5800,135,New,Yes,No,Yes,20,0,0,13,No,36,49,8,Success,0
ORD-100024,2026-05-16,CUST-6198,Jashore,T-Shirt,Clothing,3,COD,3717,2077,311,New,No,Yes,Yes,101,0,0,7,No,7,59,11,Success,0
ORD-100025,2026-03-03,CUST-5499,Mymensingh,Perfume,Cosmetics,2,Prepaid,5049,3059,357,New,Yes,No,Yes,108,0,0,7,No,17,62,11,Failed,1
ORD-100026,2026-05-30,CUST-1320,Cox's Bazar,Headphone,Electronics,1,COD,7558,5170,139,New,Yes,Yes,Yes,19,0,0,10,No,26,53,7,Success,0
ORD-100027,2026-06-23,CUST-7624,Bogura,Perfume,Cosmetics,1,Prepaid,2421,1540,165,Returning,Yes,No,No,40,14,1,15,Yes,892,43,11,Failed,1
ORD-100028,2026-03-13,CUST-7906,Khulna,Kurti,Fashion,5,COD,9056,4956,314,Returning,Yes,No,Yes,118,1,0,8,Yes,433,97,7,Success,0
ORD-100029,2026-06-21,CUST-2874,Gazipur,Backpack,Accessories,1,COD,3258,2063,177,New,No,Yes,Yes,46,0,0,7,Yes,1,16,8,Success,0
ORD-100030,2026-02-20,CUST-2245,Gazipur,Backpack,Accessories,2,COD,6516,4244,137,Returning,No,No,Yes,23,23,0,0,No,1179,50,12,Success,0
ORD-100031,2026-04-21,CUST-6934,Narayanganj,Sunglasses,Accessories,1,Prepaid,1598,877,395,Returning,Yes,Yes,Yes,110,19,3,16,No,25,62,2,Success,0
ORD-100032,2026-03-13,CUST-8385,Rajshahi,Backpack,Accessories,2,COD,6431,4195,357,Returning,Yes,Yes,Yes,95,20,3,23,No,660,119,2,Success,0
ORD-100033,2026-02-18,CUST-2402,Rajshahi,Perfume,Cosmetics,1,COD,2517,1536,108,New,Yes,Yes,Yes,5,0,0,8,No,44,1,9,Success,0
ORD-100034,2026-04-19,CUST-6419,Barishal,Backpack,Accessories,1,Prepaid,3181,2171,250,New,Yes,Yes,Yes,84,0,0,7,Yes,37,67,6,Success,0
ORD-100035,2026-03-14,CUST-2647,Cox's Bazar,Headphone,Electronics,1,COD,7479,5180,332,New,Yes,No,Yes,94,0,0,6,No,17,67,10,Failed,1
ORD-100036,2026-03-29,CUST-4020,Dhaka,Kurti,Fashion,1,COD,1901,982,169,New,Yes,No,Yes,37,0,0,15,Yes,0,61,8,Returned,1
ORD-100037,2026-05-14,CUST-7232,Mymensingh,Panjabi,Clothing,2,COD,6022,3675,134,Returning,Yes,Yes,No,11,5,0,3,No,852,79,4,Success,0
ORD-100038,2026-04-26,CUST-8699,Khulna,Headphone,Electronics,3,COD,22529,15628,227,Returning,Yes,Yes,Yes,74,24,0,2,Yes,355,0,7,Failed,1
ORD-100039,2026-02-06,CUST-2169,Dhaka,Headphone,Electronics,2,COD,15036,10368,214,New,No,Yes,Yes,89,0,0,6,No,34,116,5,Failed,1
ORD-100040,2026-03-06,CUST-1423,Chattogram,Bluetooth Speaker,Electronics,2,COD,9593,6662,151,New,Yes,Yes,Yes,17,0,0,14,Yes,2,41,10,Returned,1
ORD-100041,2026-03-27,CUST-6260,Narayanganj,Handbag,Fashion,1,COD,3425,2318,296,Returning,Yes,Yes,No,75,16,1,13,No,1007,44,7,Failed,1
ORD-100042,2026-04-29,CUST-7770,Dhaka,Phone Cover,Accessories,2,Prepaid,1593,752,396,New,Yes,Yes,Yes,106,0,0,12,No,52,111,9,Failed,1
ORD-100043,2026-05-22,CUST-1224,Cumilla,Jeans,Clothing,1,COD,2833,1663,174,New,Yes,No,Yes,28,0,0,0,No,38,20,5,Success,0
ORD-100044,2026-02-18,CUST-9327,Bogura,Shoes,Fashion,5,COD,20949,14568,123,New,No,Yes,Yes,17,0,0,13,No,30,18,7,Success,0
ORD-100045,2026-05-20,CUST-7180,Mymensingh,Handbag,Fashion,1,Prepaid,3617,2356,176,Returning,Yes,Yes,No,45,1,0,15,No,914,42,9,Success,0
ORD-100046,2026-06-01,CUST-6439,Cox's Bazar,Handbag,Fashion,1,COD,3598,2311,215,Returning,Yes,Yes,Yes,75,14,0,12,No,311,16,9,Returned,1
ORD-100047,2026-03-23,CUST-8994,Cox's Bazar,Panjabi,Clothing,1,COD,3036,1753,356,Returning,No,Yes,Yes,94,5,0,12,No,672,68,7,Success,0
ORD-100048,2026-03-17,CUST-6873,Barishal,Perfume,Cosmetics,1,Prepaid,2581,1523,144,New,Yes,Yes,No,31,0,0,14,Yes,19,41,1,Success,0
ORD-100049,2026-03-15,CUST-9955,Sylhet,Shoes,Fashion,1,COD,4264,2896,98,Returning,Yes,No,Yes,23,13,1,14,No,941,115,8,Returned,1
ORD-100050,2026-04-12,CUST-5497,Dhaka,Perfume,Cosmetics,1,Prepaid,2528,1514,245,New,Yes,Yes,Yes,60,0,0,18,Yes,18,2,11,Success,0
ORD-100051,2026-06-24,CUST-3240,Narayanganj,Sunglasses,Accessories,2,Prepaid,2932,1777,356,New,No,Yes,Yes,108,0,0,20,Yes,16,98,11,Returned,1
ORD-100052,2026-03-11,CUST-3695,Khulna,T-Shirt,Clothing,1,COD,1232,658,281,New,No,Yes,Yes,76,0,0,6,Yes,34,67,9,Success,0
ORD-100053,2026-03-09,CUST-9791,Chattogram,Backpack,Accessories,4,COD,12795,8436,302,Returning,Yes,Yes,Yes,104,5,2,12,No,1141,50,1,Success,0
ORD-100054,2026-06-29,CUST-5951,Narayanganj,Sunglasses,Accessories,2,COD,2987,1747,238,New,Yes,Yes,Yes,107,0,0,17,Yes,39,81,8,Success,0
ORD-100055,2026-04-17,CUST-2622,Cox's Bazar,Kurti,Fashion,1,COD,1729,1027,232,New,Yes,Yes,Yes,65,0,0,23,No,34,93,3,Success,0
ORD-100056,2026-03-12,CUST-4109,Chattogram,Phone Cover,Accessories,3,COD,2391,1008,331,New,No,No,Yes,90,0,0,21,Yes,57,7,7,Success,0
ORD-100057,2026-03-26,CUST-3417,Jashore,Handbag,Fashion,1,COD,3589,2304,208,Returning,Yes,Yes,Yes,84,2,1,2,No,1135,104,4,Success,0
ORD-100058,2026-04-18,CUST-9619,Chattogram,T-Shirt,Clothing,1,COD,1157,683,173,New,Yes,Yes,Yes,71,0,0,7,No,1,16,12,Success,0
ORD-100059,2026-06-25,CUST-2768,Mymensingh,Backpack,Accessories,1,COD,3212,2077,279,Returning,No,Yes,Yes,59,2,1,20,No,124,51,7,Success,0
ORD-100060,2026-01-26,CUST-2874,Cox's Bazar,Backpack,Accessories,1,COD,3140,2132,229,New,Yes,Yes,Yes,79,0,0,12,No,33,77,7,Success,0
ORD-100061,2026-05-02,CUST-2099,Chattogram,Skin Care Kit,Cosmetics,2,COD,5304,3205,213,New,Yes,Yes,Yes,57,0,0,3,Yes,20,19,11,Success,0
ORD-100062,2026-01-14,CUST-5712,Gazipur,Panjabi,Clothing,1,COD,3110,1845,371,New,No,Yes,Yes,105,0,0,13,Yes,42,111,12,Failed,1
ORD-100063,2026-06-07,CUST-1430,Gazipur,Cosmetics Set,Cosmetics,1,Prepaid,2288,1473,173,New,Yes,Yes,Yes,30,0,0,7,No,54,104,10,Success,0
ORD-100064,2026-05-16,CUST-4524,Rangpur,Handbag,Fashion,2,Prepaid,6927,4596,154,New,Yes,Yes,No,36,0,0,18,No,4,3,2,Success,0
ORD-100065,2026-05-12,CUST-2864,Barishal,Smart Watch,Electronics,1,Prepaid,6499,4733,309,Returning,Yes,Yes,Yes,101,2,0,14,No,994,34,4,Success,0
ORD-100066,2026-01-31,CUST-1126,Mymensingh,Headphone,Electronics,2,COD,15071,10474,179,New,Yes,Yes,Yes,69,0,0,9,No,49,37,6,Success,0
ORD-100067,2026-04-17,CUST-5743,Chattogram,Kurti,Fashion,1,COD,1856,1008,213,Returning,No,Yes,Yes,66,12,0,2,No,1179,90,11,Returned,1
ORD-100068,2026-03-27,CUST-3754,Chattogram,Kurti,Fashion,2,Prepaid,3678,2067,388,New,Yes,Yes,Yes,108,0,0,12,No,25,43,4,Success,0
ORD-100069,2026-04-25,CUST-6295,Cox's Bazar,Panjabi,Clothing,1,Prepaid,2969,1839,187,Returning,Yes,Yes,Yes,46,5,0,20,Yes,1011,97,10,Success,0
ORD-100070,2026-06-07,CUST-9307,Rangpur,Smart Watch,Electronics,1,COD,6437,4770,197,Returning,Yes,Yes,Yes,58,19,0,1,Yes,587,109,2,Success,0
ORD-100071,2026-02-14,CUST-1641,Rajshahi,Cosmetics Set,Cosmetics,4,Prepaid,8909,5560,228,Returning,Yes,Yes,Yes,59,7,0,3,No,703,64,11,Success,0
ORD-100072,2026-03-14,CUST-5128,Bogura,Backpack,Accessories,1,COD,3276,2090,181,New,Yes,Yes,Yes,48,0,0,20,No,4,86,7,Success,0
ORD-100073,2026-06-14,CUST-6381,Cox's Bazar,Skin Care Kit,Cosmetics,1,COD,2558,1635,111,New,Yes,No,Yes,12,0,0,12,Yes,45,71,7,Returned,1
ORD-100074,2026-05-10,CUST-9843,Cox's Bazar,Bluetooth Speaker,Electronics,5,Prepaid,24054,16473,206,Returning,Yes,Yes,No,84,1,0,15,Yes,281,108,2,Success,0
ORD-100075,2026-04-24,CUST-5668,Jashore,Cosmetics Set,Cosmetics,1,COD,2206,1383,252,New,No,No,Yes,78,0,0,5,No,2,92,4,Success,0
ORD-100076,2026-06-04,CUST-3267,Cox's Bazar,Backpack,Accessories,1,Prepaid,3181,2129,289,Returning,No,No,Yes,105,7,0,9,No,1029,104,4,Returned,1
ORD-100077,2026-04-17,CUST-1872,Rangpur,Handbag,Fashion,1,COD,3446,2281,211,New,Yes,Yes,No,38,0,0,2,No,14,44,1,Success,0
ORD-100078,2026-01-02,CUST-2298,Dhaka,Shoes,Fashion,1,COD,4140,2945,163,Returning,No,Yes,Yes,30,23,1,15,No,284,57,10,Returned,1
ORD-100079,2026-01-05,CUST-9443,Gazipur,Cosmetics Set,Cosmetics,4,Prepaid,8875,5658,131,New,Yes,Yes,Yes,16,0,0,19,No,7,76,9,Success,0
ORD-100080,2026-05-01,CUST-1713,Narayanganj,Kurti,Fashion,1,COD,1720,1040,184,New,Yes,Yes,Yes,32,0,0,16,No,50,2,7,Success,0
ORD-100081,2026-06-25,CUST-8612,Bogura,Smart Watch,Electronics,1,COD,6424,4741,328,New,Yes,Yes,Yes,102,0,0,10,Yes,22,82,3,Success,0
ORD-100082,2026-02-18,CUST-5687,Barishal,Kurti,Fashion,2,COD,3536,2067,88,New,Yes,Yes,No,6,0,0,16,No,52,4,11,Success,0
ORD-100083,2026-03-10,CUST-2353,Bogura,T-Shirt,Clothing,3,Prepaid,3604,2119,122,New,Yes,Yes,No,17,0,0,10,No,31,118,9,Success,0
ORD-100084,2026-06-07,CUST-8126,Khulna,Phone Cover,Accessories,1,COD,766,375,190,New,Yes,Yes,Yes,43,0,0,5,No,22,111,6,Success,0
ORD-100085,2026-05-26,CUST-1530,Gazipur,Jeans,Clothing,4,COD,11139,6853,201,Returning,Yes,Yes,Yes,48,6,5,1,Yes,483,46,7,Failed,1
ORD-100086,2026-03-09,CUST-5264,Bogura,Smart Watch,Electronics,1,COD,6615,4669,273,New,Yes,Yes,No,75,0,0,0,No,31,71,2,Returned,1
ORD-100087,2026-05-19,CUST-5757,Khulna,Headphone,Electronics,2,COD,15045,10401,144,New,Yes,Yes,No,17,0,0,21,No,20,8,9,Success,0
ORD-100088,2026-02-03,CUST-2412,Chattogram,Bluetooth Speaker,Electronics,2,COD,9699,6594,311,New,No,No,Yes,103,0,0,15,Yes,35,102,9,Returned,1
ORD-100089,2026-02-16,CUST-3114,Rangpur,Bluetooth Speaker,Electronics,1,COD,4825,3354,367,New,Yes,Yes,Yes,107,0,0,16,Yes,56,81,10,Success,0
ORD-100090,2026-06-10,CUST-5961,Gazipur,Handbag,Fashion,1,COD,3451,2289,158,New,Yes,Yes,No,40,0,0,9,No,16,35,3,Success,0
ORD-100091,2026-04-17,CUST-1496,Mymensingh,Cosmetics Set,Cosmetics,2,COD,4471,2789,112,Returning,No,Yes,No,23,20,0,2,Yes,1181,98,10,Success,0
ORD-100092,2026-03-30,CUST-7532,Sylhet,Cosmetics Set,Cosmetics,1,Prepaid,2197,1473,163,Returning,Yes,Yes,Yes,33,10,1,14,Yes,294,40,12,Success,0
ORD-100093,2026-03-22,CUST-4110,Jashore,Cosmetics Set,Cosmetics,1,COD,2201,1411,273,New,Yes,Yes,No,61,0,0,19,No,55,41,10,Returned,1
ORD-100094,2026-05-01,CUST-5681,Cumilla,Backpack,Accessories,1,COD,3198,2177,121,New,Yes,Yes,Yes,4,0,0,1,Yes,31,83,11,Failed,1
ORD-100095,2026-06-24,CUST-2946,Sylhet,Kurti,Fashion,3,COD,5506,3043,290,New,Yes,Yes,Yes,99,0,0,9,Yes,32,35,10,Success,0
ORD-100096,2026-06-06,CUST-6218,Sylhet,Phone Cover,Accessories,1,COD,806,393,308,Returning,Yes,Yes,Yes,98,13,1,15,No,305,17,6,Success,0
ORD-100097,2026-06-11,CUST-1436,Gazipur,Perfume,Cosmetics,2,Prepaid,4996,3036,233,Returning,Yes,Yes,Yes,66,23,1,3,No,1195,92,12,Success,0
ORD-100098,2026-04-23,CUST-6139,Rangpur,Sunglasses,Accessories,2,COD,3118,1708,322,Returning,Yes,No,Yes,94,17,1,21,Yes,1172,24,1,Returned,1
ORD-100099,2026-04-01,CUST-5331,Gazipur,Phone Cover,Accessories,1,Prepaid,876,420,318,Returning,Yes,Yes,Yes,113,23,0,16,Yes,354,43,9,Success,0
ORD-100100,2026-03-30,CUST-3399,Khulna,Shoes,Fashion,1,Prepaid,4196,2907,180,Returning,Yes,Yes,No,40,23,2,23,Yes,249,48,7,Returned,1
ORD-100101,2026-05-16,CUST-4697,Narayanganj,Panjabi,Clothing,1,COD,3033,1815,286,New,Yes,No,Yes,97,0,0,4,Yes,47,6,11,Failed,1
ORD-100102,2026-06-16,CUST-4804,Cumilla,Smart Watch,Electronics,2,Prepaid,12945,9385,104,Returning,No,No,Yes,2,6,0,6,No,588,7,2,Success,0
ORD-100103,2026-03-14,CUST-8444,Narayanganj,Handbag,Fashion,3,Prepaid,10464,6956,297,Returning,Yes,Yes,No,114,2,2,9,No,18,13,6,Success,0
ORD-100104,2026-06-06,CUST-7643,Cox's Bazar,Backpack,Accessories,3,COD,9554,6379,239,Returning,Yes,Yes,Yes,61,11,0,23,Yes,604,24,3,Success,0
ORD-100105,2026-03-02,CUST-2017,Narayanganj,Smart Watch,Electronics,1,Prepaid,6591,4674,133,Returning,Yes,Yes,Yes,25,8,0,10,Yes,1173,46,12,Failed,1
ORD-100106,2026-05-18,CUST-4578,Jashore,Phone Cover,Accessories,2,COD,1700,729,268,Returning,Yes,No,Yes,90,10,0,14,No,765,116,8,Returned,1
ORD-100107,2026-04-24,CUST-2904,Narayanganj,Handbag,Fashion,2,Prepaid,7054,4664,185,New,Yes,Yes,Yes,69,0,0,16,Yes,34,109,9,Returned,1
ORD-100108,2026-05-29,CUST-2196,Dhaka,Panjabi,Clothing,3,COD,9034,5364,160,New,Yes,Yes,Yes,60,0,0,9,No,25,95,4,Success,0
ORD-100109,2026-04-07,CUST-2314,Narayanganj,Bluetooth Speaker,Electronics,1,COD,4735,3267,256,New,Yes,No,No,62,0,0,20,No,23,57,7,Success,0
ORD-100110,2026-03-05,CUST-8546,Barishal,Handbag,Fashion,1,COD,3587,2339,116,Returning,No,No,Yes,17,17,0,9,No,1115,105,4,Failed,1
ORD-100111,2026-03-01,CUST-9843,Rajshahi,Skin Care Kit,Cosmetics,2,COD,5148,3158,237,Returning,Yes,Yes,Yes,105,1,0,21,No,99,51,8,Success,0
ORD-100112,2026-05-23,CUST-3869,Narayanganj,Jeans,Clothing,1,Prepaid,2848,1724,129,Returning,Yes,No,Yes,31,11,1,4,No,1067,35,1,Success,0
ORD-100113,2026-04-16,CUST-7824,Cumilla,Cosmetics Set,Cosmetics,1,COD,2208,1447,373,Returning,Yes,No,Yes,102,14,0,7,Yes,295,7,9,Success,0
ORD-100114,2026-02-18,CUST-4555,Mymensingh,Phone Cover,Accessories,1,COD,772,384,247,New,Yes,Yes,No,84,0,0,1,Yes,43,111,2,Returned,1
ORD-100115,2026-04-08,CUST-8639,Cumilla,Headphone,Electronics,4,Prepaid,29923,20804,164,New,No,Yes,Yes,26,0,0,19,No,25,41,5,Success,0
ORD-100116,2026-05-30,CUST-7841,Khulna,Headphone,Electronics,1,COD,7551,5277,208,Returning,Yes,Yes,Yes,61,16,2,1,No,453,33,9,Failed,1
ORD-100117,2026-02-17,CUST-9882,Narayanganj,Phone Cover,Accessories,1,COD,782,427,217,Returning,Yes,No,Yes,72,9,2,14,Yes,721,69,8,Success,0
ORD-100118,2026-05-04,CUST-8993,Dhaka,Cosmetics Set,Cosmetics,1,COD,2139,1362,237,New,Yes,Yes,Yes,99,0,0,6,No,23,85,10,Failed,1
ORD-100119,2026-05-15,CUST-5135,Cox's Bazar,T-Shirt,Clothing,1,Prepaid,1304,720,221,New,No,Yes,Yes,70,0,0,5,Yes,6,24,10,Returned,1
ORD-100120,2026-01-03,CUST-3807,Chattogram,Panjabi,Clothing,1,COD,3023,1867,228,Returning,No,Yes,No,74,10,2,1,Yes,776,7,11,Failed,1
ORD-100121,2026-02-23,CUST-3362,Jashore,Jeans,Clothing,1,COD,2744,1660,162,Returning,Yes,Yes,No,31,19,1,17,No,67,40,1,Success,0
ORD-100122,2026-04-22,CUST-4803,Cox's Bazar,Handbag,Fashion,1,COD,3439,2326,135,Returning,Yes,Yes,Yes,22,13,2,22,No,1025,6,2,Returned,1
ORD-100123,2026-01-19,CUST-2344,Khulna,Perfume,Cosmetics,4,COD,10021,6033,106,Returning,Yes,No,Yes,5,15,1,21,No,778,37,4,Returned,1
ORD-100124,2026-01-27,CUST-1430,Chattogram,Sunglasses,Accessories,1,COD,1519,881,189,New,Yes,Yes,Yes,48,0,0,4,Yes,27,65,7,Success,0
ORD-100125,2026-03-19,CUST-5397,Mymensingh,Panjabi,Clothing,1,COD,3120,1833,330,New,Yes,Yes,No,112,0,0,7,No,10,17,5,Failed,1
ORD-100126,2026-04-08,CUST-6399,Mymensingh,Headphone,Electronics,1,COD,7543,5169,211,New,Yes,Yes,Yes,48,0,0,3,Yes,0,107,10,Returned,1
ORD-100127,2026-04-07,CUST-5592,Cox's Bazar,Handbag,Fashion,2,COD,7072,4584,220,Returning,Yes,Yes,Yes,40,7,1,23,No,1005,31,6,Success,0
ORD-100128,2026-06-22,CUST-9180,Sylhet,Smart Watch,Electronics,1,Prepaid,6564,4701,237,New,Yes,Yes,Yes,77,0,0,22,Yes,51,8,7,Success,0
ORD-100129,2026-06-02,CUST-2392,Chattogram,Shoes,Fashion,1,COD,4159,2958,339,New,Yes,Yes,Yes,103,0,0,22,No,2,89,9,Success,0
ORD-100130,2026-05-28,CUST-4621,Mymensingh,Sunglasses,Accessories,2,Prepaid,2962,1661,274,Returning,Yes,No,Yes,74,13,6,3,Yes,1045,74,12,Failed,1
ORD-100131,2026-03-31,CUST-8801,Chattogram,Sunglasses,Accessories,1,Prepaid,1548,838,164,Returning,No,Yes,No,46,10,0,4,Yes,702,66,8,Success,0
ORD-100132,2026-03-26,CUST-7985,Mymensingh,Bluetooth Speaker,Electronics,1,Prepaid,4737,3326,82,New,No,Yes,Yes,7,0,0,5,No,47,70,3,Failed,1
ORD-100133,2026-02-17,CUST-6993,Barishal,Kurti,Fashion,1,COD,1888,1060,223,Returning,Yes,Yes,Yes,52,7,0,8,No,128,111,9,Success,0
ORD-100134,2026-01-22,CUST-3194,Barishal,Panjabi,Clothing,1,COD,3045,1830,313,New,Yes,Yes,Yes,78,0,0,5,No,45,78,10,Failed,1
ORD-100135,2026-03-15,CUST-3298,Sylhet,Kurti,Fashion,1,COD,1756,1080,237,New,Yes,Yes,Yes,51,0,0,22,No,59,21,8,Failed,1
ORD-100136,2026-01-08,CUST-4613,Khulna,T-Shirt,Clothing,3,COD,3522,2174,107,New,Yes,Yes,Yes,19,0,0,15,No,53,10,10,Failed,1
ORD-100137,2026-06-17,CUST-5055,Khulna,Headphone,Electronics,1,COD,7537,5276,239,Returning,No,Yes,No,72,9,2,1,No,903,13,12,Success,0
ORD-100138,2026-02-05,CUST-4385,Cox's Bazar,T-Shirt,Clothing,1,Prepaid,1209,672,215,New,No,Yes,Yes,58,0,0,22,Yes,45,21,10,Failed,1
ORD-100139,2026-03-12,CUST-3078,Bogura,Smart Watch,Electronics,1,Prepaid,6572,4693,227,New,Yes,No,Yes,43,0,0,21,No,8,52,1,Success,0
ORD-100140,2026-05-12,CUST-5558,Bogura,Shoes,Fashion,1,Prepaid,4202,2913,355,New,Yes,Yes,Yes,99,0,0,12,No,40,11,7,Success,0
ORD-100141,2026-05-07,CUST-5399,Barishal,Smart Watch,Electronics,1,COD,6544,4733,210,Returning,No,Yes,Yes,76,24,0,2,No,814,105,4,Success,0
ORD-100142,2026-02-03,CUST-5945,Sylhet,Smart Watch,Electronics,1,COD,6453,4774,371,Returning,Yes,No,Yes,102,2,0,5,No,1,25,12,Success,0
ORD-100143,2026-01-20,CUST-3174,Gazipur,Skin Care Kit,Cosmetics,1,COD,2687,1642,140,Returning,Yes,Yes,Yes,34,21,0,7,No,186,27,8,Success,0
ORD-100144,2026-06-14,CUST-3340,Chattogram,Sunglasses,Accessories,1,COD,1422,887,345,Returning,Yes,Yes,Yes,106,23,0,3,Yes,752,48,3,Success,0
ORD-100145,2026-03-22,CUST-3290,Rajshahi,T-Shirt,Clothing,1,Prepaid,1162,762,184,Returning,Yes,Yes,Yes,46,5,4,3,Yes,252,44,7,Success,0
ORD-100146,2026-05-07,CUST-7322,Chattogram,Panjabi,Clothing,1,Prepaid,3073,1822,291,New,No,No,Yes,101,0,0,19,No,47,6,4,Returned,1
ORD-100147,2026-04-12,CUST-9300,Khulna,Panjabi,Clothing,1,COD,2923,1842,128,Returning,Yes,Yes,Yes,42,19,0,2,Yes,138,5,1,Success,0
ORD-100148,2026-06-24,CUST-2083,Khulna,Cosmetics Set,Cosmetics,2,COD,4428,2852,134,Returning,Yes,Yes,Yes,12,5,0,4,No,800,106,11,Success,0
ORD-100149,2026-01-03,CUST-3684,Mymensingh,Bluetooth Speaker,Electronics,4,COD,19181,13164,153,New,Yes,Yes,Yes,33,0,0,23,No,11,17,12,Success,0
ORD-100150,2026-05-08,CUST-8457,Cumilla,Cosmetics Set,Cosmetics,1,COD,2304,1416,134,Returning,Yes,No,Yes,23,9,2,13,Yes,130,80,2,Success,0
ORD-100151,2026-04-04,CUST-7274,Sylhet,Backpack,Accessories,3,COD,9562,6344,132,New,Yes,No,Yes,22,0,0,16,Yes,54,5,8,Returned,1
ORD-100152,2026-01-12,CUST-7568,Chattogram,T-Shirt,Clothing,1,COD,1302,757,150,New,Yes,Yes,Yes,30,0,0,11,Yes,43,28,9,Success,0
ORD-100153,2026-05-20,CUST-5016,Sylhet,Handbag,Fashion,1,COD,3499,2333,119,New,Yes,Yes,Yes,13,0,0,19,Yes,23,98,4,Failed,1
ORD-100154,2026-05-14,CUST-7767,Bogura,Shoes,Fashion,1,COD,4282,2852,169,Returning,Yes,Yes,Yes,44,24,2,15,No,291,5,4,Success,0
